sequence,cell,pair,q_free_bytes,windows_free_bytes,q_quiet,windows_quiet
001,q_to_windows_large,1,80151244800,2501306822656,q_load1=2.66;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=1.33
003,q_to_windows_large,2,80153595904,2499159306240,q_load1=2.20;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.33
005,q_to_windows_large,3,80156061696,2497011785728,q_load1=2.02;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2
007,q_to_windows_large,4,80153587712,2494864269312,q_load1=1.92;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.67
009,q_to_windows_large,5,80153333760,2492716744704,q_load1=1.83;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4
011,q_to_windows_large,6,80151232512,2490569228288,q_load1=1.72;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.33
013,q_to_windows_large,7,80149221376,2488421711872,q_load1=1.41;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.33
015,q_to_windows_large,8,80147521536,2486274195456,q_load1=1.65;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4
017,windows_to_q_large,1,80147324928,2484126679040,q_load1=1.61;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4
019,windows_to_q_large,2,77999566848,2484126646272,q_load1=1.58;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.67
021,windows_to_q_large,3,75850514432,2484126613504,q_load1=1.69;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.67
023,windows_to_q_large,4,73701683200,2484126580736,q_load1=1.77;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4.33
025,windows_to_q_large,5,71553687552,2484126547968,q_load1=1.61;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3
027,windows_to_q_large,6,69405745152,2484126515200,q_load1=1.47;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=1.67
029,windows_to_q_large,7,67261943808,2484126482432,q_load1=1.42;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.33
031,windows_to_q_large,8,65111842816,2484126449664,q_load1=1.68;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.67
033,windows_to_q_small,1,62961119232,2484126416896,q_load1=1.93;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2
035,windows_to_q_small,2,62866665472,2484126265344,q_load1=2.39;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2
037,windows_to_q_small,3,62772064256,2484126117888,q_load1=2.10;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3
039,windows_to_q_small,4,62679650304,2484125966336,q_load1=1.87;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4
041,windows_to_q_small,5,62550986752,2484125806592,q_load1=2.97;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.67
043,windows_to_q_small,6,62485147648,2484125659136,q_load1=2.76;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.33
045,windows_to_q_small,7,62397353984,2484125511680,q_load1=2.51;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2
047,windows_to_q_small,8,62309892096,2484125364224,q_load1=2.20;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.67
049,q_to_windows_small,1,62197088256,2484125212672,q_load1=2.93;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=1.67
051,q_to_windows_small,2,62199107584,2484037951488,q_load1=2.03;q_spotlight_cpu=0.3;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3
053,q_to_windows_small,3,62195851264,2483950592000,q_load1=1.69;q_spotlight_cpu=0.3;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.33
055,q_to_windows_small,4,62193680384,2483860250624,q_load1=1.52;q_spotlight_cpu=0.4;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4
057,q_to_windows_small,5,62194524160,2483752542208,q_load1=1.14;q_spotlight_cpu=0.3;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.67
059,q_to_windows_small,6,62190870528,2483644960768,q_load1=1.60;q_spotlight_cpu=0.3;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4
061,q_to_windows_small,7,62188335104,2483537047552,q_load1=1.37;q_spotlight_cpu=0.3;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3
063,q_to_windows_small,8,62184759296,2483429470208,q_load1=1.70;q_spotlight_cpu=0.3;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3
065,q_to_windows_mixed,1,62182670336,2483321720832,q_load1=1.60;q_spotlight_cpu=0.4;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4.33
067,q_to_windows_mixed,2,62181019648,2482194083840,q_load1=2.97;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.33
069,q_to_windows_mixed,3,62179090432,2481066233856,q_load1=2.16;q_spotlight_cpu=0.1;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.33
071,q_to_windows_mixed,4,62172131328,2479938658304,q_load1=1.80;q_spotlight_cpu=0.2;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.67
073,q_to_windows_mixed,5,62170914816,2478811049984,q_load1=1.83;q_spotlight_cpu=0.2;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=1.33
075,q_to_windows_mixed,6,62169178112,2477683183616,q_load1=1.52;q_spotlight_cpu=0.2;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2
077,q_to_windows_mixed,7,62166921216,2476555575296,q_load1=1.43;q_spotlight_cpu=0.1;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3
079,q_to_windows_mixed,8,62165700608,2475428003840,q_load1=1.70;q_spotlight_cpu=0.1;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=1.33
081,windows_to_q_mixed,1,62168657920,2474300407808,q_load1=1.83;q_spotlight_cpu=0.2;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.33
083,windows_to_q_mixed,2,61044965376,2474300313600,q_load1=2.74;q_spotlight_cpu=0.2;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=1.33
085,windows_to_q_mixed,3,59918618624,2474299953152,q_load1=3.00;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2
087,windows_to_q_mixed,4,58763149312,2474299854848,q_load1=3.00;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3
089,windows_to_q_mixed,5,57642172416,2474299760640,q_load1=2.96;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=1.67
091,windows_to_q_mixed,6,56452923392,2474299666432,q_load1=2.85;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3
093,windows_to_q_mixed,7,55331037184,2474299568128,q_load1=2.87;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.67
095,windows_to_q_mixed,8,54212677632,2474299469824,q_load1=2.88;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.67
