cell,trace_state,measurand,metric,rank,value_ms,descriptive_mode,largest_gap_after,largest_gap_ms
wm_tcp_mixed,off,durable_total_ms,source_init_total,1,1342,lower,yes,106
wm_tcp_mixed,off,durable_total_ms,source_init_total,2,1448,upper,no,106
wm_tcp_mixed,off,durable_total_ms,source_init_total,3,1451,upper,no,106
wm_tcp_mixed,off,durable_total_ms,source_init_total,4,1461,upper,no,106
wm_tcp_mixed,off,durable_total_ms,source_init_total,5,1478,upper,no,106
wm_tcp_mixed,off,durable_total_ms,source_init_total,6,1505,upper,no,106
wm_tcp_mixed,off,durable_total_ms,source_init_total,7,1551,upper,no,106
wm_tcp_mixed,off,durable_total_ms,source_init_total,8,1553,upper,no,106
wm_tcp_mixed,off,durable_total_ms,destination_init_total,1,1324,lower,no,189
wm_tcp_mixed,off,durable_total_ms,destination_init_total,2,1339,lower,no,189
wm_tcp_mixed,off,durable_total_ms,destination_init_total,3,1349,lower,no,189
wm_tcp_mixed,off,durable_total_ms,destination_init_total,4,1360,lower,no,189
wm_tcp_mixed,off,durable_total_ms,destination_init_total,5,1377,lower,no,189
wm_tcp_mixed,off,durable_total_ms,destination_init_total,6,1386,lower,no,189
wm_tcp_mixed,off,durable_total_ms,destination_init_total,7,1389,lower,yes,189
wm_tcp_mixed,off,durable_total_ms,destination_init_total,8,1578,upper,no,189
wm_tcp_mixed,off,durable_total_ms,paired_total_delta,1,-202,lower,no,107
wm_tcp_mixed,off,durable_total_ms,paired_total_delta,2,-193,lower,no,107
wm_tcp_mixed,off,durable_total_ms,paired_total_delta,3,-166,lower,no,107
wm_tcp_mixed,off,durable_total_ms,paired_total_delta,4,-124,lower,no,107
wm_tcp_mixed,off,durable_total_ms,paired_total_delta,5,-92,lower,no,107
wm_tcp_mixed,off,durable_total_ms,paired_total_delta,6,-72,lower,yes,107
wm_tcp_mixed,off,durable_total_ms,paired_total_delta,7,35,upper,no,107
wm_tcp_mixed,off,durable_total_ms,paired_total_delta,8,127,upper,no,107
wm_tcp_mixed,on,durable_total_ms,source_init_total,1,1446,lower,no,29
wm_tcp_mixed,on,durable_total_ms,source_init_total,2,1453,lower,no,29
wm_tcp_mixed,on,durable_total_ms,source_init_total,3,1479,lower,no,29
wm_tcp_mixed,on,durable_total_ms,source_init_total,4,1491,lower,no,29
wm_tcp_mixed,on,durable_total_ms,source_init_total,5,1498,lower,no,29
wm_tcp_mixed,on,durable_total_ms,source_init_total,6,1520,lower,yes,29
wm_tcp_mixed,on,durable_total_ms,source_init_total,7,1549,upper,no,29
wm_tcp_mixed,on,durable_total_ms,source_init_total,8,1550,upper,no,29
wm_tcp_mixed,on,durable_total_ms,destination_init_total,1,1324,lower,no,24
wm_tcp_mixed,on,durable_total_ms,destination_init_total,2,1340,lower,no,24
wm_tcp_mixed,on,durable_total_ms,destination_init_total,3,1341,lower,yes,24
wm_tcp_mixed,on,durable_total_ms,destination_init_total,4,1365,upper,no,24
wm_tcp_mixed,on,durable_total_ms,destination_init_total,5,1369,upper,no,24
wm_tcp_mixed,on,durable_total_ms,destination_init_total,6,1384,upper,no,24
wm_tcp_mixed,on,durable_total_ms,destination_init_total,7,1389,upper,no,24
wm_tcp_mixed,on,durable_total_ms,destination_init_total,8,1403,upper,no,24
wm_tcp_mixed,on,durable_total_ms,paired_total_delta,1,-181,lower,no,26
wm_tcp_mixed,on,durable_total_ms,paired_total_delta,2,-160,lower,no,26
wm_tcp_mixed,on,durable_total_ms,paired_total_delta,3,-158,lower,no,26
wm_tcp_mixed,on,durable_total_ms,paired_total_delta,4,-138,lower,no,26
wm_tcp_mixed,on,durable_total_ms,paired_total_delta,5,-129,lower,no,26
wm_tcp_mixed,on,durable_total_ms,paired_total_delta,6,-117,lower,no,26
wm_tcp_mixed,on,durable_total_ms,paired_total_delta,7,-107,lower,yes,26
wm_tcp_mixed,on,durable_total_ms,paired_total_delta,8,-81,upper,no,26
mw_tcp_mixed,off,durable_total_ms,source_init_total,1,2108,lower,no,127
mw_tcp_mixed,off,durable_total_ms,source_init_total,2,2111,lower,no,127
mw_tcp_mixed,off,durable_total_ms,source_init_total,3,2118,lower,yes,127
mw_tcp_mixed,off,durable_total_ms,source_init_total,4,2245,upper,no,127
mw_tcp_mixed,off,durable_total_ms,source_init_total,5,2262,upper,no,127
mw_tcp_mixed,off,durable_total_ms,source_init_total,6,2299,upper,no,127
mw_tcp_mixed,off,durable_total_ms,source_init_total,7,2330,upper,no,127
mw_tcp_mixed,off,durable_total_ms,source_init_total,8,2373,upper,no,127
mw_tcp_mixed,off,durable_total_ms,destination_init_total,1,1821,lower,yes,382
mw_tcp_mixed,off,durable_total_ms,destination_init_total,2,2203,upper,no,382
mw_tcp_mixed,off,durable_total_ms,destination_init_total,3,2254,upper,no,382
mw_tcp_mixed,off,durable_total_ms,destination_init_total,4,2291,upper,no,382
mw_tcp_mixed,off,durable_total_ms,destination_init_total,5,2320,upper,no,382
mw_tcp_mixed,off,durable_total_ms,destination_init_total,6,2327,upper,no,382
mw_tcp_mixed,off,durable_total_ms,destination_init_total,7,2338,upper,no,382
mw_tcp_mixed,off,durable_total_ms,destination_init_total,8,2349,upper,no,382
mw_tcp_mixed,off,durable_total_ms,paired_total_delta,1,-297,lower,yes,178
mw_tcp_mixed,off,durable_total_ms,paired_total_delta,2,-119,upper,no,178
mw_tcp_mixed,off,durable_total_ms,paired_total_delta,3,-96,upper,no,178
mw_tcp_mixed,off,durable_total_ms,paired_total_delta,4,-3,upper,no,178
mw_tcp_mixed,off,durable_total_ms,paired_total_delta,5,46,upper,no,178
mw_tcp_mixed,off,durable_total_ms,paired_total_delta,6,76,upper,no,178
mw_tcp_mixed,off,durable_total_ms,paired_total_delta,7,209,upper,no,178
mw_tcp_mixed,off,durable_total_ms,paired_total_delta,8,241,upper,no,178
mw_tcp_mixed,on,durable_total_ms,source_init_total,1,2113,lower,no,61
mw_tcp_mixed,on,durable_total_ms,source_init_total,2,2116,lower,no,61
mw_tcp_mixed,on,durable_total_ms,source_init_total,3,2125,lower,no,61
mw_tcp_mixed,on,durable_total_ms,source_init_total,4,2152,lower,yes,61
mw_tcp_mixed,on,durable_total_ms,source_init_total,5,2213,upper,no,61
mw_tcp_mixed,on,durable_total_ms,source_init_total,6,2236,upper,no,61
mw_tcp_mixed,on,durable_total_ms,source_init_total,7,2278,upper,no,61
mw_tcp_mixed,on,durable_total_ms,source_init_total,8,2294,upper,no,61
mw_tcp_mixed,on,durable_total_ms,destination_init_total,1,1860,lower,yes,417
mw_tcp_mixed,on,durable_total_ms,destination_init_total,2,2277,upper,no,417
mw_tcp_mixed,on,durable_total_ms,destination_init_total,3,2289,upper,no,417
mw_tcp_mixed,on,durable_total_ms,destination_init_total,4,2299,upper,no,417
mw_tcp_mixed,on,durable_total_ms,destination_init_total,5,2323,upper,no,417
mw_tcp_mixed,on,durable_total_ms,destination_init_total,6,2331,upper,no,417
mw_tcp_mixed,on,durable_total_ms,destination_init_total,7,2335,upper,no,417
mw_tcp_mixed,on,durable_total_ms,destination_init_total,8,2461,upper,no,417
mw_tcp_mixed,on,durable_total_ms,paired_total_delta,1,-434,lower,yes,479
mw_tcp_mixed,on,durable_total_ms,paired_total_delta,2,45,upper,no,479
mw_tcp_mixed,on,durable_total_ms,paired_total_delta,3,53,upper,no,479
mw_tcp_mixed,on,durable_total_ms,paired_total_delta,4,161,upper,no,479
mw_tcp_mixed,on,durable_total_ms,paired_total_delta,5,174,upper,no,479
mw_tcp_mixed,on,durable_total_ms,paired_total_delta,6,183,upper,no,479
mw_tcp_mixed,on,durable_total_ms,paired_total_delta,7,218,upper,no,479
mw_tcp_mixed,on,durable_total_ms,paired_total_delta,8,248,upper,no,479
wm_grpc_mixed,off,durable_total_ms,source_init_total,1,1569,lower,no,37
wm_grpc_mixed,off,durable_total_ms,source_init_total,2,1577,lower,no,37
wm_grpc_mixed,off,durable_total_ms,source_init_total,3,1611,lower,yes,37
wm_grpc_mixed,off,durable_total_ms,source_init_total,4,1648,upper,no,37
wm_grpc_mixed,off,durable_total_ms,source_init_total,5,1672,upper,no,37
wm_grpc_mixed,off,durable_total_ms,source_init_total,6,1683,upper,no,37
wm_grpc_mixed,off,durable_total_ms,source_init_total,7,1692,upper,no,37
wm_grpc_mixed,off,durable_total_ms,source_init_total,8,1696,upper,no,37
wm_grpc_mixed,off,durable_total_ms,destination_init_total,1,1395,lower,yes,23
wm_grpc_mixed,off,durable_total_ms,destination_init_total,2,1418,upper,no,23
wm_grpc_mixed,off,durable_total_ms,destination_init_total,3,1423,upper,no,23
wm_grpc_mixed,off,durable_total_ms,destination_init_total,4,1425,upper,no,23
wm_grpc_mixed,off,durable_total_ms,destination_init_total,5,1425,upper,no,23
wm_grpc_mixed,off,durable_total_ms,destination_init_total,6,1425,upper,no,23
wm_grpc_mixed,off,durable_total_ms,destination_init_total,7,1448,upper,no,23
wm_grpc_mixed,off,durable_total_ms,destination_init_total,8,1464,upper,no,23
wm_grpc_mixed,off,durable_total_ms,paired_total_delta,1,-301,lower,no,47
wm_grpc_mixed,off,durable_total_ms,paired_total_delta,2,-267,lower,no,47
wm_grpc_mixed,off,durable_total_ms,paired_total_delta,3,-258,lower,no,47
wm_grpc_mixed,off,durable_total_ms,paired_total_delta,4,-247,lower,yes,47
wm_grpc_mixed,off,durable_total_ms,paired_total_delta,5,-200,upper,no,47
wm_grpc_mixed,off,durable_total_ms,paired_total_delta,6,-154,upper,no,47
wm_grpc_mixed,off,durable_total_ms,paired_total_delta,7,-151,upper,no,47
wm_grpc_mixed,off,durable_total_ms,paired_total_delta,8,-147,upper,no,47
wm_grpc_mixed,on,durable_total_ms,source_init_total,1,1629,lower,yes,25
wm_grpc_mixed,on,durable_total_ms,source_init_total,2,1654,upper,no,25
wm_grpc_mixed,on,durable_total_ms,source_init_total,3,1663,upper,no,25
wm_grpc_mixed,on,durable_total_ms,source_init_total,4,1665,upper,no,25
wm_grpc_mixed,on,durable_total_ms,source_init_total,5,1672,upper,no,25
wm_grpc_mixed,on,durable_total_ms,source_init_total,6,1675,upper,no,25
wm_grpc_mixed,on,durable_total_ms,source_init_total,7,1683,upper,no,25
wm_grpc_mixed,on,durable_total_ms,source_init_total,8,1683,upper,no,25
wm_grpc_mixed,on,durable_total_ms,destination_init_total,1,1401,lower,no,18
wm_grpc_mixed,on,durable_total_ms,destination_init_total,2,1405,lower,yes,18
wm_grpc_mixed,on,durable_total_ms,destination_init_total,3,1423,upper,no,18
wm_grpc_mixed,on,durable_total_ms,destination_init_total,4,1439,upper,no,18
wm_grpc_mixed,on,durable_total_ms,destination_init_total,5,1448,upper,no,18
wm_grpc_mixed,on,durable_total_ms,destination_init_total,6,1451,upper,no,18
wm_grpc_mixed,on,durable_total_ms,destination_init_total,7,1453,upper,no,18
wm_grpc_mixed,on,durable_total_ms,destination_init_total,8,1469,upper,no,18
wm_grpc_mixed,on,durable_total_ms,paired_total_delta,1,-282,lower,no,29
wm_grpc_mixed,on,durable_total_ms,paired_total_delta,2,-278,lower,yes,29
wm_grpc_mixed,on,durable_total_ms,paired_total_delta,3,-249,upper,no,29
wm_grpc_mixed,on,durable_total_ms,paired_total_delta,4,-236,upper,no,29
wm_grpc_mixed,on,durable_total_ms,paired_total_delta,5,-214,upper,no,29
wm_grpc_mixed,on,durable_total_ms,paired_total_delta,6,-201,upper,no,29
wm_grpc_mixed,on,durable_total_ms,paired_total_delta,7,-194,upper,no,29
wm_grpc_mixed,on,durable_total_ms,paired_total_delta,8,-181,upper,no,29
wm_tcp_large,off,durable_total_ms,source_init_total,1,1486,lower,no,58
wm_tcp_large,off,durable_total_ms,source_init_total,2,1507,lower,yes,58
wm_tcp_large,off,durable_total_ms,source_init_total,3,1565,upper,no,58
wm_tcp_large,off,durable_total_ms,source_init_total,4,1569,upper,no,58
wm_tcp_large,off,durable_total_ms,source_init_total,5,1570,upper,no,58
wm_tcp_large,off,durable_total_ms,source_init_total,6,1575,upper,no,58
wm_tcp_large,off,durable_total_ms,source_init_total,7,1576,upper,no,58
wm_tcp_large,off,durable_total_ms,source_init_total,8,1576,upper,no,58
wm_tcp_large,off,durable_total_ms,destination_init_total,1,1409,lower,yes,12
wm_tcp_large,off,durable_total_ms,destination_init_total,2,1421,upper,no,12
wm_tcp_large,off,durable_total_ms,destination_init_total,3,1423,upper,no,12
wm_tcp_large,off,durable_total_ms,destination_init_total,4,1427,upper,no,12
wm_tcp_large,off,durable_total_ms,destination_init_total,5,1429,upper,no,12
wm_tcp_large,off,durable_total_ms,destination_init_total,6,1429,upper,no,12
wm_tcp_large,off,durable_total_ms,destination_init_total,7,1432,upper,no,12
wm_tcp_large,off,durable_total_ms,destination_init_total,8,1442,upper,no,12
wm_tcp_large,off,durable_total_ms,paired_total_delta,1,-156,lower,no,55
wm_tcp_large,off,durable_total_ms,paired_total_delta,2,-153,lower,no,55
wm_tcp_large,off,durable_total_ms,paired_total_delta,3,-149,lower,no,55
wm_tcp_large,off,durable_total_ms,paired_total_delta,4,-147,lower,no,55
wm_tcp_large,off,durable_total_ms,paired_total_delta,5,-137,lower,no,55
wm_tcp_large,off,durable_total_ms,paired_total_delta,6,-133,lower,yes,55
wm_tcp_large,off,durable_total_ms,paired_total_delta,7,-78,upper,no,55
wm_tcp_large,off,durable_total_ms,paired_total_delta,8,-59,upper,no,55
wm_tcp_large,on,durable_total_ms,source_init_total,1,1569,lower,no,6
wm_tcp_large,on,durable_total_ms,source_init_total,2,1570,lower,no,6
wm_tcp_large,on,durable_total_ms,source_init_total,3,1571,lower,no,6
wm_tcp_large,on,durable_total_ms,source_init_total,4,1572,lower,no,6
wm_tcp_large,on,durable_total_ms,source_init_total,5,1574,lower,yes,6
wm_tcp_large,on,durable_total_ms,source_init_total,6,1580,upper,no,6
wm_tcp_large,on,durable_total_ms,source_init_total,7,1580,upper,no,6
wm_tcp_large,on,durable_total_ms,source_init_total,8,1582,upper,no,6
wm_tcp_large,on,durable_total_ms,destination_init_total,1,1416,lower,yes,11
wm_tcp_large,on,durable_total_ms,destination_init_total,2,1427,upper,no,11
wm_tcp_large,on,durable_total_ms,destination_init_total,3,1428,upper,no,11
wm_tcp_large,on,durable_total_ms,destination_init_total,4,1430,upper,no,11
wm_tcp_large,on,durable_total_ms,destination_init_total,5,1431,upper,no,11
wm_tcp_large,on,durable_total_ms,destination_init_total,6,1433,upper,no,11
wm_tcp_large,on,durable_total_ms,destination_init_total,7,1440,upper,no,11
wm_tcp_large,on,durable_total_ms,destination_init_total,8,1441,upper,no,11
wm_tcp_large,on,durable_total_ms,paired_total_delta,1,-155,lower,no,7
wm_tcp_large,on,durable_total_ms,paired_total_delta,2,-154,lower,yes,7
wm_tcp_large,on,durable_total_ms,paired_total_delta,3,-147,upper,no,7
wm_tcp_large,on,durable_total_ms,paired_total_delta,4,-143,upper,no,7
wm_tcp_large,on,durable_total_ms,paired_total_delta,5,-143,upper,no,7
wm_tcp_large,on,durable_total_ms,paired_total_delta,6,-139,upper,no,7
wm_tcp_large,on,durable_total_ms,paired_total_delta,7,-139,upper,no,7
wm_tcp_large,on,durable_total_ms,paired_total_delta,8,-132,upper,no,7
